What is multiplexing?;Multiplexing is a fundamental technique in communications that enables multiple signals or data streams to be transmitted simultaneously over a single communication channel. It increases the efficiency of channel usage and allows for parallel communication with multiple users, even without advanced technologies like MIMO.
What are the main types of multiplexing?;The main types of multiplexing discussed are:<br>• Space Division Multiplexing (SDM)<br>• Frequency Division Multiplexing (FDM)<br>• Time Division Multiplexing (TDM)<br>• Code Division Multiplexing (CDM)
Explain Space Division Multiplexing (SDM).;Space Division Multiplexing (SDM) is achieved using MIMO technology. It creates separate physical channels between transmitter and receiver by placing antennas at different locations or orienting them in different directions. Smart antennas and beamforming techniques can further enhance SDM. Note that SDM should not be confused with spatial multiplexing.
Explain Frequency Division Multiplexing (FDM).;Frequency Division Multiplexing (FDM) divides the available frequency range into several non-overlapping frequency bands, each serving as a sub-channel. Each sender is assigned a specific frequency band for continuous use. Guard bands are necessary to prevent interference between adjacent channels. FDM is simple to implement and used in applications like FM radio, but less suitable for mobile communication with many users.
Explain Time Division Multiplexing (TDM).;Time Division Multiplexing (TDM) allocates the entire bandwidth to each channel, but only for a specific time slot. All users share the same frequency but transmit at different times, separated by guard intervals to prevent overlap. TDM can be combined with FDM for more complex schemes.
Explain Code Division Multiplexing (CDM).;Code Division Multiplexing (CDM) allows multiple channels to use the same frequency and time by assigning a unique code to each channel. This uses spread spectrum techniques like Frequency Hopping Spread Spectrum (FHSS) and Direct Sequence Spread Spectrum (DSSS). The receiver must know the code (or sequence) to extract the intended signal.
Explain Frequency Hopping Spread Spectrum (FHSS) in CDM.;In Frequency Hopping Spread Spectrum (FHSS), a technique used in CDM, the frequency band used changes according to a predefined hopping sequence.
Explain Direct Sequence Spread Spectrum (DSSS) in CDM.;In Direct Sequence Spread Spectrum (DSSS), a technique used in CDM, the data is combined with a pseudo-random chipping sequence, spreading the signal over a wider bandwidth. This makes it appear as noise to unintended receivers.
What is the trade-off between bandwidth and users in multiplexing?;Splitting bandwidth into more channels allows more users but reduces the data rate per user. Fewer, wider channels increase data rate but support fewer users.
How do different multiplexing techniques compare in terms of power and complexity?;Narrowband signals (as in FDM) require less power and simpler circuits. Wideband signals (as in SDM or DSSS) may require more complex, power-hungry hardware.
How do spread spectrum techniques (CDM) relate to security and robustness?;Spread spectrum techniques (CDM) enhance security and resistance to interference. This is because the signal is spread over a wide frequency range and appears as noise to unintended receivers.
What is the overall purpose and consideration for choosing a multiplexing technique?;Multiplexing is essential for maximizing the use of available communication resources, supporting multiple users, and increasing overall network capacity. The choice depends on the application requirements, available hardware, and desired trade-offs between complexity, throughput, and robustness.
What is the main problem that MAC protocols address in communications?;MAC protocols address collisions, which occur when two or more hosts transmit on the same channel simultaneously, causing signals to be corrupted.
What are the three main approaches to solve the problem of collisions?;The three main approaches are:<br>1. Allow transmissions to collide, but this corrupts data.<br>2. Collision Detection (CD): Allow collisions, but the sender detects the collision and retransmits.<br>3. Collision Avoidance (CA): Attempt to prevent the collision from happening.
Why are different MAC mechanisms needed for wireless networks compared to wired networks?;Wireless networks have key differences from wired networks, such as signal attenuation and degradation over distance and the "hidden node" problem, making Collision Detection difficult to achieve.
What is the "hidden node" problem?;The "hidden node" problem occurs when a device (node) is visible to an access point (AP) but not to other nodes communicating with the same AP. Two nodes might transmit simultaneously because they cannot hear each other, but their signals collide at the AP. The transmitting nodes are unaware of the collision as they are outside each other"s transmission range.
What are the wireless multiple access protocols?;The wireless multiple access protocols are:<br>• Time Division Multiple Access (TDMA)<br>• Frequency Division Multiple Access (FDMA)<br>• ALOHA (and its improvements)<br>• Multiple Access with Collision Avoidance (MACA)<br>• Code Division Multiple Access (CDMA)
Explain Time Division Multiple Access (TDMA).;TDMA uses time division multiplexing. Each user transmits only in specific time slots, occupying the entire frequency band during their slot. It requires a centralised coordinator for slot allocation and guard times between slots for synchronisation issues.
What are the advantages and disadvantages of TDMA?;Advantages: Efficient use of band, avoids collisions well by time division, low energy consumption (devices transmit only in active slots and can sleep otherwise).<br>Disadvantages: Requires precise temporal synchronisation (overhead), latency problems in large networks (users wait for their slot), inefficient for bursty traffic, guard periods introduce overhead.
Explain Frequency Division Multiple Access (FDMA).;FDMA divides the band into non-overlapping frequency sub-bands, allocating each to a single user for the entire connection duration. It uses different bands for uplink/downlink and requires guard bands to prevent interference. It can be centralised (cordinator assigns frequencies) or decentralised (algorithm assigns frequencies).
What are the advantages and disadvantages of FDMA?;Advantages: Low latency (no waiting for slots), suitable for real-time applications, supports continuous transmission.<br>Disadvantages: Limited number of users (fixed total band), guard bands waste band, inefficient for bursty traffic, requires more expensive hardware than TDMA.
How does Classical ALOHA work?;Classical ALOHA is a Time Division Multiple Access method without a coordinator. Stations access the medium randomly at any time. If multiple stations transmit simultaneously, a collision occurs, and data is destroyed; resolution (like retransmission) is left to higher layers.
What is Slotted ALOHA?;Slotted ALOHA is an improvement where devices synchronise with time slots, and transmission can only begin at the start of a slot. Coordination is still absent, and collisions can occur.
What is Carrier Sense Multiple Access (CSMA)? Name one variation used in Wi-Fi.;CSMA schemes involve stations "listening" to the channel (carrier sense) before transmitting. CSMA with Collision Avoidance (CSMA/CA), which combines carrier sensing with a back-off scheme, is used in Wi-Fi.
Explain the basic mechanism of Multiple Access Collision Avoidance (MACA), including RTS/CTS.;MACA uses a simple scheme to avoid collisions and solve the hidden node problem. It involves an RTS/CTS/Packet/ACK exchange. A sender sends a Request To Send (RTS) to the receiver. If the channel is free, the receiver replies with a Clear To Send (CTS). Nodes overhearing the CTS (including potential hidden nodes) know that a transmission is about to occur and defer. The sender then transmits the packet, and the receiver replies with an ACK.
What are the advantages and disadvantages of MACA?;Advantages: Mitigates the hidden node problem with RTS/CTS, reduces collision probability (especially with high traffic), increased fairness among nodes.<br>Disadvantages: Increases overhead, scalability problems.
